editor,issue_date,price,test,title,url
Panini,2017-11-16,18.20,"Quinta 16 Novembro, 2017",Avante Vingadores (NOVA SÉRIE) nº 12 (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30636
Panini,2017-11-16,13.00,"Quinta 16 Novembro, 2017",Guerra Civil II VOL 03 (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30635
Independente,2017-11-10,7.00,"Sexta 10 Novembro, 2017",Roomates,http://www.comix.com.br/product_info.php?products_id=30581
Editora Todavia,2017-11-10,29.90,"Sexta 10 Novembro, 2017",O Livro dos Coelhos Suicidas,http://www.comix.com.br/product_info.php?products_id=30580
Editora Todavia,2017-11-10,84.90,"Sexta 10 Novembro, 2017",Baiacu,http://www.comix.com.br/product_info.php?products_id=30579
JBC,2017-11-08,64.90,"Quarta 08 Novembro, 2017",Ghost in the Shell  Vol 02 (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30578
Marsupial Editora,2017-11-08,32.00,"Quarta 08 Novembro, 2017",In The Flowers  (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30577
Marsupial Editora,2017-11-08,32.00,"Quarta 08 Novembro, 2017",Desastres Ambulantes (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30576
Marsupial Editora,2017-11-08,45.00,"Quarta 08 Novembro, 2017",Uma Estrela na Escuridão (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30575
Marsupial Editora,2017-11-08,36.00,"Quarta 08 Novembro, 2017",O Sinal (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30574
Marsupial Editora,2017-11-08,58.00,"Quarta 08 Novembro, 2017",Monstruário - Volume 1 (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30573
Marsupial Editora,2017-11-08,40.00,"Quarta 08 Novembro, 2017",De Volta a Solemnia (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30572
,2017-11-08,7.50,"Quarta 08 Novembro, 2017",Batman (Renascimento) nº 8,http://www.comix.com.br/product_info.php?products_id=30571
Panini,2017-11-08,7.50,"Quarta 08 Novembro, 2017",Superman (Renascimento) nº 8,http://www.comix.com.br/product_info.php?products_id=30570
Panini,2017-11-08,7.50,"Quarta 08 Novembro, 2017",Batman-Detective Comics (Renascimento) nº 8,http://www.comix.com.br/product_info.php?products_id=30569
Panini,2017-11-08,14.00,"Quarta 08 Novembro, 2017",Lanternas Verdes (Renascimento) nº 8,http://www.comix.com.br/product_info.php?products_id=30568
Panini,2017-11-08,7.50,"Quarta 08 Novembro, 2017",Jovens Titãs (Renascimento) nº 5,http://www.comix.com.br/product_info.php?products_id=30567
